authfull,field,field_type,rank_openalex,rank_global,c_score_openalex,elsevier_pct,nc,h,scopus_pubs,scopus_citations,rank_change
"Krauss, Rosalind E.","Art Practice, History & Theory",book_heavy,180.0,1199777.0,4.3570580467350055,0.0,6070,34,31.0,316.0,1199597.0
"Ginsburg, Faye",Anthropology,book_heavy,181.0,161216.0,4.348490316085082,1.7341040462427744,8448,32,61.0,1765.0,161035.0
"Brundage, James A.",History,book_heavy,182.0,547706.0,4.344028252764343,0.5763688760806917,5904,31,34.0,378.0,547524.0
"Brundage, James A.",History,book_heavy,182.0,547706.0,4.344028252764343,0.5763688760806917,5904,31,34.0,378.0,547524.0
"Herrington, Jan",Education,mixed,184.0,285636.0,4.332712287096831,0.5494505494505495,11331,47,,,285452.0
"Jacobs, Jane M.",Geography,mixed,185.0,107740.0,4.330695422180836,4.132231404958678,14020,28,,,107555.0
"McNair, Brian",Communication & Media Studies,mixed,186.0,146339.0,4.330012338767833,0.0,4870,29,65.0,1412.0,146153.0
"Mackenzie, Catriona",Philosophy,book_heavy,187.0,184517.0,4.3188383414023965,1.6666666666666667,5826,34,,,184330.0
"Crane, Tim",Philosophy,book_heavy,188.0,237904.0,4.317462784424481,0.0,4852,33,60.0,1035.0,237716.0
"Carpentier, Jean François",Organic Chemistry,journal_heavy,189.0,25013.0,4.315823770300332,7.878245299910475,16155,73,422.0,18242.0,24824.0
"Ergönül, Önder Onder",Microbiology,journal_heavy,190.0,42336.0,4.314446848221485,33.5149863760218,11196,55,246.0,8626.0,42146.0
"Schäffer, Alejandro A.",Genetics & Heredity,journal_heavy,191.0,17519.0,4.312632141656255,10.59322033898305,28979,78,259.0,89501.0,17328.0
"Gil-Alaña, Luís Albériko",Economics,mixed,192.0,27726.0,4.3073886330827875,17.023346303501945,7826,47,,,27534.0
"Post, Robert C.",Law,mixed,193.0,77985.0,4.302601762462368,4.028436018957346,4620,38,75.0,2740.0,77792.0
"Langanke, Karlheinz",Nuclear & Particle Physics,journal_heavy,194.0,30418.0,4.30175573766558,28.607594936708864,15906,65,373.0,16810.0,30224.0
"Hansen, Miriam Bratu",Literary Studies,book_heavy,195.0,280389.0,4.296828267260016,0.7518796992481203,5150,29,,,280194.0
"Tripp, Aili Mari",Political Science & Public Administration,mixed,196.0,118923.0,4.293243617819561,0.0,4809,34,60.0,1927.0,118727.0
"Foster, Andrew D.",Economics,mixed,197.0,102759.0,4.287783182661871,10.191082802547772,9265,40,,,102562.0
"Schiffer, Stephen",Philosophy,book_heavy,198.0,240474.0,4.286008888330882,0.7633587786259541,4391,28,41.0,1093.0,240276.0
"Whitfield, James F.",Biochemistry & Molecular Biology,journal_heavy,199.0,99212.0,4.285702230090234,33.23863636363637,9412,55,268.0,4850.0,99013.0
"Procter, David J.",Organic Chemistry,journal_heavy,200.0,42078.0,4.284733619362015,3.2948929159802307,13639,67,,,41878.0
"Stahl, Dale O.",Economics,mixed,201.0,124389.0,4.283938026073686,20.0,6644,31,69.0,2469.0,124188.0
"Salomon, Yoram",Biochemistry & Molecular Biology,journal_heavy,202.0,123724.0,4.282979962206328,29.48717948717949,11047,45,119.0,4696.0,123522.0
"Knobloch-Westerwick, Silvia S.",Communication & Media Studies,mixed,203.0,39655.0,4.282123928782392,2.2058823529411766,6271,42,,,39452.0
"Rose, Richard",Political Science & Public Administration,mixed,204.0,17072.0,4.28103036621164,6.588235294117648,20495,72,201.0,9010.0,16868.0
"Seaford, Richard",Classics,book_heavy,205.0,166083.0,4.2748988516128685,0.0,4178,31,55.0,1322.0,165878.0
"Bartkowski, John P.",Religions & Theology,book_heavy,206.0,141234.0,4.268723657378828,3.0303030303030303,6390,43,99.0,3356.0,141028.0
"Combes, Pierre Philippe",Economics,mixed,207.0,108540.0,4.261524440237528,14.965986394557824,7952,34,,,108333.0
"Grimmer, Justin",Political Science & Public Administration,mixed,208.0,109921.0,4.259306248016801,0.8130081300813009,7030,32,,,109713.0
"Fletcher, George P.",Law,mixed,209.0,295947.0,4.2565344279757875,0.0,3994,31,53.0,767.0,295738.0
"Abraham, Soman N.",Immunology,journal_heavy,210.0,137873.0,4.252450646893472,32.8719723183391,17498,74,191.0,13893.0,137663.0
"Mansfeld, Jaap",Classics,book_heavy,211.0,355020.0,4.250730394152185,0.23094688221709,5008,33,79.0,560.0,354809.0
"Wolfram, Catherine D.",Economics,mixed,212.0,134461.0,4.2475358783324975,3.015075376884422,7322,39,48.0,3394.0,134249.0
"Varzi, Achille C.",Philosophy,book_heavy,213.0,190288.0,4.245123719580933,0.8658008658008658,4753,36,74.0,1276.0,190075.0
"Holdaway, Simon J.",Archaeology,book_heavy,214.0,253735.0,4.243986233487103,5.2924791086350975,5501,41,,,253521.0
"Leung, Constant",Languages & Linguistics,mixed,215.0,174699.0,4.239984153974766,1.951219512195122,5378,35,87.0,1792.0,174484.0
"Brueggemann, Walter",Religions & Theology,book_heavy,216.0,492898.0,4.235028603098298,0.0,3969,31,87.0,442.0,492682.0
"Sturm, Jan-Egbert Egbert",Economics,mixed,217.0,132379.0,4.234969380616922,6.024096385542169,12387,49,131.0,5759.0,132162.0
"Holz, Ronald W.",Biochemistry & Molecular Biology,journal_heavy,218.0,123920.0,4.234477484926827,38.66666666666666,8267,53,141.0,5038.0,123702.0
"Benton, Lauren",History,book_heavy,219.0,162401.0,4.234056262254088,2.9585798816568047,5190,31,51.0,1351.0,162182.0
"Svallfors, Stefan",Sociology,mixed,220.0,107749.0,4.231900468890857,0.6451612903225806,4085,29,,,107529.0
"Hunter, David G.",Religions & Theology,book_heavy,221.0,512912.0,4.231350901896382,35.09803921568627,7542,50,26.0,499.0,512691.0
"Hopkins, Keith",Classics,book_heavy,222.0,346705.0,4.229632200362426,0.0,5156,25,,,346483.0
"Hendriks, Carolyn M.",Political Science & Public Administration,mixed,223.0,112409.0,4.226659398779886,3.333333333333333,4998,36,42.0,2386.0,112186.0
"Palace, Jacqueline A.",Neurology & Neurosurgery,journal_heavy,224.0,20687.0,4.224198636191954,14.37125748502994,23883,81,,,20463.0
"Tripsas, Mary",Business & Management,mixed,225.0,126304.0,4.223442714915747,2.5974025974025974,7867,24,,,126079.0
"Remmer, Karen L.",Political Science & Public Administration,mixed,226.0,133836.0,4.222878973398301,1.2658227848101269,3659,31,28.0,1684.0,133610.0
"Ayres, Paul L.",Education,mixed,227.0,89602.0,4.220762976184613,19.491525423728813,8174,43,,,89375.0
"Iammarino, Simona",Geography,mixed,228.0,96975.0,4.220205410878062,6.018518518518518,8383,34,73.0,5541.0,96747.0
"Gagarin, Michael",Classics,book_heavy,229.0,398237.0,4.218512733030408,0.0,5182,28,30.0,620.0,398008.0
"Michaud, Jacques L.",Genetics & Heredity,journal_heavy,230.0,128555.0,4.218394131460045,22.78481012658228,15438,66,,,128325.0
"Freestone, Ian C.",Archaeology,book_heavy,231.0,85987.0,4.212532548170637,15.151515151515152,6419,43,89.0,4182.0,85756.0
"Barberá, Pablo",Political Science & Public Administration,mixed,232.0,131440.0,4.211969906836088,0.9852216748768472,9870,33,38.0,4664.0,131208.0
"Laine, Roger A.",Biochemistry & Molecular Biology,journal_heavy,233.0,121825.0,4.210805432338997,31.963470319634705,7905,49,149.0,4152.0,121592.0
"Wilkins, David P.",Languages & Linguistics,mixed,234.0,195924.0,4.21031620340884,12.12121212121212,7776,35,,,195690.0
"O'Connor, Sue",Archaeology,book_heavy,235.0,110097.0,4.208031986297081,10.86350974930362,7650,52,160.0,3987.0,109862.0
"Schäfer, Peter",Religions & Theology,book_heavy,236.0,555971.0,4.202219610415835,26.21951219512195,14228,61,18.0,483.0,555735.0
"Baxter, Janeen J.",Sociology,mixed,237.0,82654.0,4.199776688227475,5.119453924914676,6650,41,123.0,3891.0,82417.0
"Voas, David",Religions & Theology,book_heavy,238.0,74109.0,4.19565533477627,0.7633587786259541,4980,32,72.0,3626.0,73871.0
"Michael J. Crozier, Michael J.",Geography,mixed,239.0,104039.0,4.194242172808233,16.49484536082474,5590,32,,,103800.0
"Blankenbeclér, Richard",Nuclear & Particle Physics,journal_heavy,240.0,195414.0,4.193529944470418,12.048192771084338,6905,39,119.0,2703.0,195174.0
"Mazower, Mark",History,book_heavy,241.0,221331.0,4.1868223075288755,0.0,4667,25,,,221090.0
"Eck, Werner",Classics,book_heavy,242.0,333699.0,4.18603624162055,0.0,3175,36,232.0,870.0,333457.0
"Wilbanks, Thomas J.",Geography,mixed,243.0,105825.0,4.185217030295824,6.569343065693431,12607,31,65.0,8656.0,105582.0
"Hanihara, Tsunehiko",Anthropology,book_heavy,244.0,115110.0,4.180296528133356,4.464285714285714,5993,38,,,114866.0
"Strielkowski, Wadim",Economics,mixed,245.0,108517.0,4.174134642993188,9.736842105263158,6756,45,,,108272.0
"Huggan, Graham",Literary Studies,book_heavy,246.0,292918.0,4.165633788065698,0.5847953216374269,4233,24,62.0,1054.0,292672.0
"Levis, John Michael",Languages & Linguistics,mixed,247.0,189456.0,4.16497037520043,2.923976608187134,5902,31,62.0,1679.0,189209.0
"Rosenwein, Barbara H.",History,book_heavy,248.0,297604.0,4.164912418158348,0.0,4186,24,28.0,1275.0,297356.0
"Harris, Jonathan Gil",Literary Studies,book_heavy,249.0,788349.0,4.162744826566165,14.97326203208556,17147,46,,,788100.0
"Kukathas, Chandran",Philosophy,book_heavy,250.0,202966.0,4.159360714367542,1.2121212121212122,3399,27,,,202716.0
"Budig, Michelle J.",Sociology,mixed,251.0,106394.0,4.158323405688323,4.545454545454546,7153,27,32.0,4581.0,106143.0
"Herbert, Steve",Geography,mixed,252.0,112486.0,4.15807034989537,4.901960784313726,3989,28,46.0,2413.0,112234.0
"Sloterdijk, Peter",Literary Studies,book_heavy,253.0,811428.0,4.1545817884167215,0.3968253968253968,4209,29,19.0,346.0,811175.0
"Wright, Scott",Communication & Media Studies,mixed,254.0,166472.0,4.150747315007008,45.49763033175356,24568,61,,,166218.0
"Lieberman, Evan S.",Political Science & Public Administration,mixed,255.0,130224.0,4.149651166126602,4.901960784313726,4337,25,35.0,1981.0,129969.0
"Kimbel, William H.",Anthropology,book_heavy,256.0,123599.0,4.148315261120839,23.577235772357724,7552,44,81.0,4744.0,123343.0
"Gabaccia, Donna R.",History,book_heavy,257.0,485144.0,4.1469909042843165,0.0,4335,30,60.0,1053.0,484887.0
"Szechtman, Henry",Neurology & Neurosurgery,journal_heavy,258.0,114599.0,4.145974353156805,50.81967213114754,9013,52,,,114341.0
"Isaac, Benjamin H.",Classics,book_heavy,259.0,378140.0,4.145081541363182,1.06951871657754,3754,27,26.0,983.0,377881.0
"Faraone, Christopher Athanasious",Classics,book_heavy,260.0,170833.0,4.144998053064925,0.0,3317,30,,,170573.0
"Jitendra, Asha K.",Education,mixed,261.0,234451.0,4.1416999071006835,5.142857142857142,6469,47,87.0,3594.0,234190.0
"Afifi, Walid Adel",Communication & Media Studies,mixed,262.0,137379.0,4.13543674873081,3.1578947368421053,5530,40,71.0,3738.0,137117.0
"Bocquet-Appel, Jean Pierre",Anthropology,book_heavy,263.0,122671.0,4.13418620555191,9.803921568627452,4487,30,,,122408.0
"Ticktin, Miriam I.",Anthropology,book_heavy,264.0,141429.0,4.132177273280158,0.0,4320,20,,,141165.0
"Bucher, Taina",Communication & Media Studies,mixed,265.0,145069.0,4.130907032328796,0.0,4963,18,14.0,2736.0,144804.0
"Walsh, Steve",Languages & Linguistics,mixed,266.0,163517.0,4.126721164098712,2.419354838709677,4332,26,45.0,2045.0,163251.0
"Haque, M. Shamsul",Political Science & Public Administration,mixed,267.0,125740.0,4.1252635354967335,1.6528925619834711,2794,29,,,125473.0
"Otten, Uwe H.",Neurology & Neurosurgery,journal_heavy,268.0,123467.0,4.122872926061316,47.25274725274725,12011,59,181.0,8206.0,123199.0
"Baccaro, Lucio",Political Science & Public Administration,mixed,269.0,123924.0,4.122053677858345,0.4464285714285714,4934,36,,,123655.0
"Simard, J. Marc",Neurology & Neurosurgery,journal_heavy,270.0,,4.114802382979677,12.844036697247708,15739,70,,,
"Berg, Jonathan S.",Genetics & Heredity,journal_heavy,271.0,172038.0,4.113441418396095,34.25076452599388,32688,61,79.0,21047.0,171767.0
"Merricks, Trenton",Philosophy,book_heavy,272.0,229623.0,4.112269471153268,0.0,3255,23,,,229351.0
"Ansel, Karl Mark",Immunology,journal_heavy,273.0,113505.0,4.110994136753995,23.417721518987346,17880,57,94.0,13604.0,113232.0
"Nyborg, Karine",Economics,mixed,274.0,115739.0,4.109461653477941,12.592592592592592,5397,36,47.0,3720.0,115465.0
"Zahariadis, Nikolaos",Political Science & Public Administration,mixed,275.0,102389.0,4.106474013198075,0.0,3647,29,,,102114.0
"Wolfson, Elliot R.",Religions & Theology,book_heavy,276.0,176575.0,4.106348764189397,0.0,2560,30,,,176299.0
"Xu, Jiongxin",Geography,mixed,277.0,90246.0,4.105427135808177,24.13793103448276,3038,29,106.0,2376.0,89969.0
"Glascock, Michael D.",Archaeology,book_heavy,278.0,93158.0,4.1029449355588765,22.851153039832283,9125,54,,,92880.0
"Cammaerts, Bart",Communication & Media Studies,mixed,279.0,147632.0,4.083457456733259,0.0,3378,28,47.0,1548.0,147353.0
"McPherson, Miller",Sociology,mixed,280.0,88298.0,4.081139279143585,6.666666666666667,21140,10,12.0,15125.0,88018.0
"Koskiniemi, Marjaleena",Neurology & Neurosurgery,journal_heavy,281.0,109550.0,4.078882242735238,20.0,6480,44,144.0,5086.0,109269.0
"Bloomfield, Stewart A.",Neurology & Neurosurgery,journal_heavy,282.0,97047.0,4.078618214057881,5.932203389830509,5425,42,64.0,4164.0,96765.0
"Wertz, Dorothy C.",Genetics & Heredity,journal_heavy,283.0,181264.0,4.078425591149831,7.065217391304348,4148,32,101.0,1641.0,180981.0
"Warren, Mark R.",Education,mixed,284.0,233677.0,4.078265835403761,0.7547169811320755,6462,40,,,233393.0
"Copeland, B. Jack",Philosophy,book_heavy,285.0,187127.0,4.076604578421065,6.61764705882353,2900,31,,,186842.0
"Yabuuchi, Eiko",Microbiology,journal_heavy,286.0,202780.0,4.07635074425158,3.1446540880503147,9560,36,98.0,7332.0,202494.0
"Wagenaar, Hendrik C.",Political Science & Public Administration,mixed,287.0,116869.0,4.075777857434584,4.0,5175,30,68.0,3411.0,116582.0
"Antoniadis, Ignatios",Nuclear & Particle Physics,journal_heavy,288.0,5149.0,4.073185594333282,26.24584717607973,7766,42,398.0,20207.0,4861.0
"Kzhyshkowska, Julia G.",Immunology,journal_heavy,289.0,112523.0,4.067105115340464,23.98373983739837,10673,54,,,112234.0
"Thussu, Daya Kishan",Communication & Media Studies,mixed,290.0,165690.0,4.064186522951445,0.0,3229,22,,,165400.0
"Adas, Michael",History,book_heavy,291.0,254305.0,4.063109628917924,0.0,4340,23,29.0,1216.0,254014.0
"Mood, Carina",Sociology,mixed,292.0,106665.0,4.060487397311931,7.142857142857142,4279,21,,,106373.0
"Odell, George Hamley",Archaeology,book_heavy,293.0,307949.0,4.058348481701418,5.88235294117647,3380,29,33.0,1372.0,307656.0
"Albertsen, Mads",Microbiology,journal_heavy,294.0,194195.0,4.057504547966787,4.761904761904762,18436,57,89.0,11546.0,193901.0
"Hall, Joan Kelly",Languages & Linguistics,mixed,295.0,200741.0,4.053640030586846,3.2,3573,26,39.0,2212.0,200446.0
"Rutherford, Ian C.",Classics,book_heavy,296.0,392289.0,4.05129516641436,0.4065040650406504,2833,29,45.0,685.0,391993.0
"Niederle, Muriel",Economics,mixed,297.0,111562.0,4.050750203464621,6.1946902654867255,8993,36,,,111265.0
"Hansen, David T.",Education,mixed,298.0,237590.0,4.0505634943547815,1.4388489208633095,2799,25,,,237292.0
"Silvanto, Juha",Neurology & Neurosurgery,journal_heavy,299.0,99147.0,4.050065883272597,40.64516129032258,6674,46,,,98848.0
"Cheeseman, Kevin H.",Biochemistry & Molecular Biology,journal_heavy,300.0,128223.0,4.049611468639361,38.82352941176471,10868,33,,,127923.0
"Marth, Gábor T.",Genetics & Heredity,journal_heavy,301.0,174320.0,4.047082979539353,13.661202185792352,131630,53,165.0,88860.0,174019.0
"Desiderio, Stephen V.",Immunology,journal_heavy,302.0,138444.0,4.0463151634883925,43.47826086956522,8234,47,94.0,5442.0,138142.0
"Bloch, Claude",Nuclear & Particle Physics,journal_heavy,303.0,227918.0,4.043247995189497,59.42028985507246,5288,21,,,227615.0
"Cotterrell, Roger B.M.",Law,mixed,304.0,243525.0,4.0402781231302045,0.4784688995215311,3035,25,72.0,939.0,243221.0
"Lanďer, Harry M.",Biochemistry & Molecular Biology,journal_heavy,305.0,113073.0,4.040022341124959,38.297872340425535,5567,24,40.0,4864.0,112768.0
"McLeod, Jack M.",Communication & Media Studies,mixed,306.0,147212.0,4.039378298611862,1.1235955056179776,6051,35,57.0,3943.0,146906.0
"Wenar, Leif",Philosophy,book_heavy,307.0,242357.0,4.038946842584632,0.0,3246,22,34.0,896.0,242050.0
"Vogels, Godfried D.",Microbiology,journal_heavy,308.0,192033.0,4.036524986559334,19.318181818181817,10119,53,246.0,5042.0,191725.0
"Beichner, Robert J.",Education,mixed,309.0,276481.0,4.033764489190146,0.0,5086,29,,,276172.0
"Ruhl, J. B.",Law,mixed,310.0,133328.0,4.0333918630180845,2.8000000000000003,4429,31,89.0,3033.0,133018.0
"Kuusela, Pentti I.",Microbiology,journal_heavy,311.0,195638.0,4.0279946927547305,9.67741935483871,6856,48,131.0,4229.0,195327.0
"Andrews, John H.",Microbiology,journal_heavy,312.0,189795.0,4.026055058805538,6.481481481481481,4058,29,48.0,2000.0,189483.0
"Cox, Timothy C.",Genetics & Heredity,journal_heavy,313.0,143229.0,4.026022313272783,19.230769230769237,9741,56,153.0,6680.0,142916.0
"Hanna, Judith Lynne","Art Practice, History & Theory",book_heavy,314.0,568053.0,4.025636554504049,0.0,2701,27,46.0,417.0,567739.0
"McNeill, Donald",Geography,mixed,315.0,103631.0,4.024885559552554,2.4390243902439024,2429,28,,,103316.0
"Surian, Nicola",Geography,mixed,316.0,96906.0,4.021569209476137,19.411764705882355,6199,37,97.0,5086.0,96590.0
"Mackay, Alex",Archaeology,book_heavy,317.0,256010.0,4.016396227653972,24.875621890547265,11431,53,,,255693.0
"Gemmell, Curtis G.",Microbiology,journal_heavy,318.0,145691.0,4.013224001978124,21.29032258064516,5294,39,139.0,4082.0,145373.0
"Kohl, Philip L.",Archaeology,book_heavy,319.0,302832.0,4.011881006997719,0.7633587786259541,3611,29,37.0,980.0,302513.0
"Maillet, Jean Michel",Nuclear & Particle Physics,journal_heavy,320.0,144950.0,4.011854179796016,25.850340136054424,5298,39,74.0,3539.0,144630.0
"Hilton, David A.",Neurology & Neurosurgery,journal_heavy,321.0,125164.0,4.004375837504374,9.42622950819672,8328,40,121.0,7634.0,124843.0
"Foster, Hal","Art Practice, History & Theory",book_heavy,322.0,565872.0,4.004289139949332,0.0,4020,19,55.0,552.0,565550.0
"Barros, Pedro Pita",Economics,mixed,323.0,131984.0,4.003655416379653,14.106583072100312,4920,31,,,131661.0
"Fenstermacher, Gary D.",Education,mixed,324.0,305403.0,4.001996266527391,1.1904761904761905,3386,21,27.0,1211.0,305079.0
"Marzke, Mary Walpole",Anthropology,book_heavy,325.0,142950.0,4.0014649283591766,29.09090909090909,3595,26,44.0,2459.0,142625.0
"Chalaby, Jean K.",Communication & Media Studies,mixed,326.0,171318.0,4.000284866425426,0.0,2163,26,39.0,1171.0,170992.0
"Clark, Geoffrey A.",Archaeology,book_heavy,327.0,279422.0,3.9982719098897794,4.245283018867925,4226,35,67.0,1228.0,279095.0
"Manter, Daniel K.",Microbiology,journal_heavy,328.0,188716.0,3.9951638700484318,13.571428571428571,9734,45,110.0,7908.0,188388.0
"Strait, David S.",Anthropology,book_heavy,329.0,139453.0,3.994220312638102,17.197452229299362,6109,43,,,139124.0
"Dolenc, Vinko V.",Neurology & Neurosurgery,journal_heavy,330.0,112804.0,3.9932558347044473,8.823529411764707,3058,24,,,112474.0
"Kayagaki, Nobuhiko",Immunology,journal_heavy,331.0,142464.0,3.991425070431082,21.052631578947366,25641,63,104.0,21190.0,142133.0
"Michalopoulos, Argyris S.",Microbiology,journal_heavy,332.0,159181.0,3.990513937969284,9.562841530054644,8234,48,,,158849.0
"Keeley, Lawrence H.",Archaeology,book_heavy,333.0,300013.0,3.988631488351636,14.814814814814811,4453,21,,,299680.0
"Gambrell, Linda B.",Education,mixed,334.0,265522.0,3.9872844913811285,0.0,4119,27,66.0,1387.0,265188.0
"Penders, John",Microbiology,journal_heavy,335.0,195432.0,3.9858307098816357,16.666666666666664,17456,62,,,195097.0
"Cameron, Catherine M.",Archaeology,book_heavy,336.0,311099.0,3.985676651388056,7.258064516129033,2799,29,32.0,896.0,310763.0
"Howard, Marc Morjé",Political Science & Public Administration,mixed,337.0,133365.0,3.982578788635762,0.0,3425,21,21.0,2506.0,133028.0
"Lee, Ju Seong",Languages & Linguistics,mixed,338.0,176369.0,3.9817051855883774,9.523809523809524,2829,30,44.0,1555.0,176031.0
"Weigle, Sara Cushing",Languages & Linguistics,mixed,339.0,201415.0,3.9807150878061024,40.0,3065,22,24.0,1489.0,201076.0
"Theocharis, Yannis",Communication & Media Studies,mixed,340.0,171164.0,3.9788813320548915,1.1111111111111112,4411,28,46.0,2391.0,170824.0
"Quong, Jonathan",Philosophy,book_heavy,341.0,236079.0,3.9788419612197705,0.0,2960,18,30.0,1162.0,235738.0
"Porro, Carlo Adolfo",Neurology & Neurosurgery,journal_heavy,342.0,123606.0,3.978214125502193,31.210191082802545,7833,41,,,123264.0
"Momoi, Takashi",Biochemistry & Molecular Biology,journal_heavy,343.0,125028.0,3.97099353257923,47.77777777777778,8487,47,149.0,6893.0,124685.0
"Fishkin, Shelley Fisher",Literary Studies,book_heavy,344.0,787459.0,3.9666554565369148,0.0,4701,20,,,787115.0
"Medvedev, Andrei E.",Immunology,journal_heavy,345.0,140716.0,3.9662249572200565,17.5,6301,41,59.0,5327.0,140371.0
"Shattock, Michael L.",Education,mixed,346.0,284858.0,3.9658039587211436,1.680672268907563,2227,24,58.0,755.0,284512.0
"Chen, Wenhong",Communication & Media Studies,mixed,347.0,147425.0,3.9651597126826474,8.75,5297,31,72.0,3423.0,147078.0
"Gray, Jonathan","Art Practice, History & Theory",book_heavy,348.0,238383.0,3.9645953568852557,3.669724770642202,3432,28,150.0,1691.0,238035.0
"Tomlins, Christopher L.",History,book_heavy,349.0,292008.0,3.9571445727533288,0.0,2520,26,,,291659.0
"Trachtenberg, Marc",History,book_heavy,350.0,543296.0,3.9564790985094596,2.857142857142857,2292,24,29.0,498.0,542946.0
"Carey, Gregory",Genetics & Heredity,journal_heavy,351.0,182115.0,3.9535995334690046,9.30232558139535,3487,32,51.0,3161.0,181764.0
"Carey, Gregory",Genetics & Heredity,journal_heavy,351.0,182115.0,3.9535995334690046,9.30232558139535,3487,32,51.0,3161.0,181764.0
"Milstien, Sheldon",Biochemistry & Molecular Biology,journal_heavy,353.0,125217.0,3.9498489503769334,29.21348314606741,30718,93,233.0,26984.0,124864.0
"Saba, Julie D.",Biochemistry & Molecular Biology,journal_heavy,354.0,104549.0,3.9476388845815142,33.83458646616541,6885,50,102.0,6037.0,104195.0
"Thomas, David Hurst",Archaeology,book_heavy,355.0,297061.0,3.940766109672484,2.1052631578947367,2912,28,,,296706.0
"Ginsburg, Isaac",Immunology,journal_heavy,356.0,99987.0,3.940484451180932,11.76470588235294,3499,33,,,99631.0
"Sugrue, Thomas J.",History,book_heavy,357.0,210208.0,3.9404013588339137,0.0,3386,21,26.0,2301.0,209851.0
