authfull,field,field_type,rank_openalex,rank_global,c_score_openalex,elsevier_pct,nc,h,scopus_pubs,scopus_citations,rank_change
"Jongbloed, Ben W.A.",Education,mixed,358.0,258316.0,3.940105064141898,1.30718954248366,3916,25,,,257958.0
"Smith, Clyde A.",Biochemistry & Molecular Biology,journal_heavy,359.0,124514.0,3.9399022155427796,16.145833333333336,6458,43,107.0,5549.0,124155.0
"Lynch, Sally Ann",Genetics & Heredity,journal_heavy,360.0,175783.0,3.9289170838841305,20.05813953488372,12811,59,237.0,12304.0,175423.0
"Kappelman, John W.",Anthropology,book_heavy,361.0,144925.0,3.922467482661279,16.822429906542055,3433,32,,,144564.0
"Nelson, Caleb",Law,mixed,362.0,298577.0,3.922124315011036,43.4640522875817,9514,44,16.0,870.0,298215.0
"Podnar, Simon",Neurology & Neurosurgery,journal_heavy,363.0,114460.0,3.921818831832289,36.84210526315789,2867,29,,,114097.0
"Dean, John C.S.",Genetics & Heredity,journal_heavy,364.0,183089.0,3.9203157129818154,13.095238095238097,7806,42,92.0,5177.0,182725.0
"Love, Harold",Literary Studies,book_heavy,365.0,733350.0,3.9178927345050996,0.6711409395973155,2585,19,30.0,477.0,732985.0
"Crookall, David",Education,mixed,366.0,297481.0,3.9163232390808798,5.02092050209205,3296,21,128.0,1275.0,297115.0
"Dwyer, Claire",Geography,mixed,367.0,114818.0,3.9106923414159667,3.1578947368421053,3086,25,57.0,2634.0,114451.0
"Sternberg, Meir",Literary Studies,book_heavy,368.0,735721.0,3.9077963159815083,0.0,2772,22,11.0,354.0,735353.0
"Sheppard, Tom D.",Organic Chemistry,journal_heavy,369.0,183974.0,3.9077047167186008,5.421686746987952,5796,37,94.0,3909.0,183605.0
"Goffin, Jan",Neurology & Neurosurgery,journal_heavy,370.0,128411.0,3.9060643286299555,20.955882352941178,7737,48,,,128041.0
"van Doorn, Niels",Communication & Media Studies,mixed,371.0,171391.0,3.9035521943475597,0.0,2662,19,28.0,1585.0,171020.0
"Sekhon, Lali H.S.",Neurology & Neurosurgery,journal_heavy,372.0,127929.0,3.9026920372857496,43.15789473684211,4048,27,69.0,3413.0,127557.0
"Bengtsson, Ragnar",Nuclear & Particle Physics,journal_heavy,373.0,200493.0,3.902629863961538,48.18181818181818,7117,38,,,200120.0
"Tickell, Adam",Geography,mixed,374.0,109892.0,3.9003979676605858,5.154639175257731,4029,30,58.0,6930.0,109518.0
"Westad, Odd Arne",History,book_heavy,375.0,169412.0,3.897629721444443,0.0,2686,20,,,169037.0
"Miller, Donald E.",Religions & Theology,book_heavy,376.0,563382.0,3.897270934963866,1.3574660633484164,2881,29,,,563006.0
"Quinlan, Robert Joseph",Anthropology,book_heavy,377.0,140861.0,3.891209340812939,7.4074074074074066,3306,31,60.0,2736.0,140484.0
"Andrews, N. J.",Microbiology,journal_heavy,378.0,28289.0,3.88773996811161,29.96688741721854,32133,91,,,27911.0
"Prűtz, Walter A.",Biochemistry & Molecular Biology,journal_heavy,379.0,129121.0,3.885761459069744,28.88888888888889,2647,26,,,128742.0
"von Cramon-Taubadel, Noreen",Anthropology,book_heavy,380.0,140458.0,3.8839259142817513,17.647058823529413,3354,33,,,140078.0
"Obrig, Tom G.",Microbiology,journal_heavy,381.0,164331.0,3.881971381105399,31.88405797101449,4609,35,70.0,3621.0,163950.0
"Kayser, Fritz H.",Microbiology,journal_heavy,382.0,201909.0,3.876503018101529,8.80503144654088,4425,36,,,201527.0
"Ladyshewsky, Richard K.",Education,mixed,383.0,286267.0,3.870762161503562,9.210526315789473,2290,26,,,285884.0
"Hulette, Christine Marie",Neurology & Neurosurgery,journal_heavy,384.0,96216.0,3.869778552163616,15.789473684210526,14748,48,157.0,21141.0,95832.0
"Mitchell, Beverly S.",Immunology,journal_heavy,385.0,146276.0,3.8666716102641527,25.0,7836,53,147.0,6975.0,145891.0
"Taves, Ann",Religions & Theology,book_heavy,386.0,205589.0,3.8653138506428237,0.0,2440,21,66.0,1284.0,205203.0
"Sheen, Younghee",Languages & Linguistics,mixed,387.0,209445.0,3.8632106233564825,9.090909090909092,4223,12,21.0,2325.0,209058.0
"Kastelein, Robert A.",Immunology,journal_heavy,388.0,144102.0,3.86168717270603,27.27272727272727,43956,62,134.0,47369.0,143714.0
"Burchardt, Marian",Religions & Theology,book_heavy,389.0,245592.0,3.8582502175134636,0.0,2338,25,88.0,1334.0,245203.0
"Jansonius, Johan N.",Biochemistry & Molecular Biology,journal_heavy,390.0,123810.0,3.8574708491344247,52.702702702702695,5550,40,105.0,6955.0,123420.0
"Willerslev, Rane",Anthropology,book_heavy,391.0,135128.0,3.85719959548011,0.0,3437,22,57.0,2892.0,134737.0
"Griffey, Richard H.",Organic Chemistry,journal_heavy,392.0,216847.0,3.856118766889675,19.576719576719576,9378,46,153.0,8339.0,216455.0
"Poliakoff, Martyn",Organic Chemistry,journal_heavy,393.0,30761.0,3.8559662224892217,14.84375,16723,68,,,30368.0
"Gijbels, David",Education,mixed,394.0,236084.0,3.8521206025794976,6.8807339449541285,7815,36,,,235690.0
"Ghodsee, Kristen R.",History,book_heavy,395.0,309977.0,3.838965384463206,5.128205128205128,1709,22,46.0,763.0,309582.0
"Jansen, Stef",Anthropology,book_heavy,396.0,130219.0,3.838687990509766,0.9345794392523364,1858,22,38.0,1463.0,129823.0
"Smith, Pamela H.","Art Practice, History & Theory",book_heavy,397.0,384527.0,3.8241810907465403,0.78125,2208,21,33.0,646.0,384130.0
"Mohamadpour, Farzaneh",Organic Chemistry,journal_heavy,398.0,183276.0,3.8220287756347964,16.296296296296298,1619,24,,,182878.0
"Allen, Jim",Archaeology,book_heavy,399.0,331628.0,3.821693426454071,1.7699115044247788,2772,26,33.0,1599.0,331229.0
"Zumbansen, Peer C.",Law,mixed,400.0,250175.0,3.8066987836590647,0.0,1833,22,93.0,1034.0,249775.0
"Glock, Sabine",Education,mixed,401.0,233893.0,3.8021044340295758,9.740259740259742,2818,34,,,233492.0
"Dawson, Vaille Maree",Education,mixed,402.0,290432.0,3.801264330251995,0.8620689655172413,2766,25,48.0,1455.0,290030.0
"Patick, Amy K.",Microbiology,journal_heavy,403.0,178275.0,3.800895651051063,29.89690721649485,8894,43,78.0,8128.0,177872.0
"Mazzali, Paolo A.",Astronomy & Astrophysics,journal_heavy,404.0,24629.0,3.8002881979319216,1.0657193605683837,26310,89,,,24225.0
"Boles, Richard G.",Genetics & Heredity,journal_heavy,405.0,161129.0,3.7959215434672924,35.0,6719,42,103.0,6289.0,160724.0
"Millard, Andrew R.",Archaeology,book_heavy,406.0,,3.7921871906990177,17.557251908396946,4237,30,,,
"Constantinou-Deltas, Constantinos D.",Genetics & Heredity,journal_heavy,407.0,132131.0,3.7894248634478127,15.934065934065933,7307,42,,,131724.0
"Husain, V.",Nuclear & Particle Physics,journal_heavy,408.0,149085.0,3.7861956437594153,2.877697841726619,2130,26,117.0,2003.0,148677.0
"Harris, Lois Ruth",Education,mixed,409.0,286348.0,3.784917306676493,8.108108108108109,2738,23,35.0,1532.0,285939.0
"Chen, Yi",Organic Chemistry,journal_heavy,410.0,182243.0,3.7753677280768976,24.20856610800745,21088,68,128.0,2343.0,181833.0
"Senn, Hans Martin",Organic Chemistry,journal_heavy,411.0,220799.0,3.772590574336708,3.79746835443038,6802,30,53.0,4632.0,220388.0
"Bazilevskaya, Galina A.",Nuclear & Particle Physics,journal_heavy,412.0,172193.0,3.7715480376806934,10.778443113772456,9702,40,333.0,9480.0,171781.0
"Sutherland-Smith, Wendy",Education,mixed,413.0,287427.0,3.7698713939214605,3.4482758620689653,1835,23,,,287014.0
"Sanders, David",Political Science & Public Administration,mixed,414.0,125977.0,3.7684363960822505,18.88111888111888,22663,74,91.0,3414.0,125563.0
"Rousseau, Philip",Religions & Theology,book_heavy,415.0,589776.0,3.7680457350555665,0.0,1898,18,25.0,439.0,589361.0
"Dawson, P. A.",Literary Studies,book_heavy,416.0,769464.0,3.7672167521533453,14.285714285714285,5842,27,,,769048.0
"Benard, Gil",Microbiology,journal_heavy,417.0,180790.0,3.765299253815241,21.32701421800948,5151,38,,,180373.0
"Cowan-Jacob, Sandra W.",Biochemistry & Molecular Biology,journal_heavy,418.0,102942.0,3.762689487988913,26.47058823529412,9352,37,67.0,23285.0,102524.0
"Mather, Alexander S.",Geography,mixed,419.0,110813.0,3.7536410774856708,28.78787878787879,2539,15,65.0,3032.0,110394.0
"Zent, Clive S.",Immunology,journal_heavy,420.0,124072.0,3.7509946647444457,49.67532467532468,8847,55,177.0,7854.0,123652.0
"van Nuffelen, Peter",Classics,book_heavy,421.0,336219.0,3.75022190600811,0.0,1663,23,58.0,742.0,335798.0
"Huang, Yuanbiao",Organic Chemistry,journal_heavy,422.0,230493.0,3.744290268418959,13.942307692307692,13681,66,117.0,10077.0,230071.0
"Reiffers, Josy J.",Immunology,journal_heavy,423.0,132168.0,3.742369827466394,26.48809523809524,20745,58,467.0,25112.0,131745.0
"Guo, Zhongwu",Organic Chemistry,journal_heavy,424.0,162769.0,3.741876819124452,18.045112781954884,5393,42,232.0,4899.0,162345.0
"Bru, Edvin",Education,mixed,425.0,239090.0,3.7404679231691453,13.6,4565,41,109.0,3498.0,238665.0
"Nelson, D. Erle",Archaeology,book_heavy,426.0,284219.0,3.7373278220219732,30.851063829787236,6509,38,68.0,3475.0,283793.0
"Saitō, Yuriko","Art Practice, History & Theory",book_heavy,427.0,341401.0,3.736955712712663,0.0,1627,17,,,340974.0
"Linet, Bernard",Nuclear & Particle Physics,journal_heavy,428.0,193651.0,3.73533981630178,6.896551724137931,1746,20,,,193223.0
"Dang, Hongyue",Microbiology,journal_heavy,429.0,190117.0,3.734730427070754,12.22222222222222,5571,39,80.0,4660.0,189688.0
"Turner-Walker, Gordon",Archaeology,book_heavy,430.0,244617.0,3.732615167973359,36.734693877551024,3357,25,,,244187.0
"Noell, George H.",Education,mixed,431.0,271135.0,3.732333946676635,4.081632653061225,4088,31,,,270704.0
"Vanderwal, Christopher D.",Organic Chemistry,journal_heavy,432.0,196522.0,3.725702468576378,2.4390243902439024,4338,39,100.0,3478.0,196090.0
"Chandler, James K.",Literary Studies,book_heavy,433.0,814497.0,3.7223129750548134,3.5294117647058822,2315,18,28.0,249.0,814064.0
"Hetherington, Seth V.",Microbiology,journal_heavy,434.0,206652.0,3.7205855823650125,14.814814814814811,4027,33,68.0,3682.0,206218.0
"Davidson, Mark A.",Geography,mixed,435.0,109478.0,3.7197439941890558,21.50537634408602,4677,39,56.0,2506.0,109043.0
"Yeh, Yu chu",Education,mixed,436.0,234388.0,3.7142672854884142,29.069767441860467,1957,25,54.0,1334.0,233952.0
"Persily, Nathaniel A.",Law,mixed,437.0,285152.0,3.7097087631405112,0.0,2029,22,41.0,1131.0,284715.0
"Conkey, Margaret W.",Archaeology,book_heavy,438.0,297477.0,3.708084938161072,10.416666666666668,2230,19,,,297039.0
"Gremillion, Kristen J.",Archaeology,book_heavy,439.0,310923.0,3.707560324293339,3.79746835443038,2521,24,29.0,1636.0,310484.0
"Matory, J. Lorand",Religions & Theology,book_heavy,440.0,582791.0,3.703480475807945,0.0,1443,17,15.0,583.0,582351.0
"Brumm, Adam",Archaeology,book_heavy,441.0,284376.0,3.7027679024207183,13.043478260869565,4166,27,62.0,2723.0,283935.0
"Hofman, Diego M.",Nuclear & Particle Physics,journal_heavy,442.0,189552.0,3.702030338421964,7.142857142857142,2883,23,,,189110.0
"Talmon, Stefan",Law,mixed,443.0,296057.0,3.7017268353689765,0.7299270072992701,1406,18,24.0,848.0,295614.0
"Nairn, Karen M.",Education,mixed,444.0,281823.0,3.6981646815538123,5.494505494505495,2258,26,,,281379.0
"Bendikov, Michael",Organic Chemistry,journal_heavy,445.0,204617.0,3.697324331221421,2.18978102189781,10150,50,,,204172.0
"Diprose, Rosalyn",Literary Studies,book_heavy,446.0,755664.0,3.692660552743809,1.3333333333333337,1736,16,,,755218.0
"Ewing, Keith D.",Law,mixed,447.0,274421.0,3.6894284207405827,0.3401360544217687,1670,21,128.0,944.0,273974.0
"Brown, Jessica A.",Philosophy,book_heavy,448.0,230002.0,3.6851903605571974,21.62162162162162,2847,30,50.0,979.0,229554.0
"Butler, Virginia L.",Archaeology,book_heavy,449.0,299723.0,3.6851736813662366,17.525773195876287,2315,24,,,299274.0
"Aubert, Maxime",Archaeology,book_heavy,450.0,290267.0,3.6792741657744985,25.68807339449541,4968,34,,,289817.0
"Haferlach, Claudia",Immunology,journal_heavy,451.0,128593.0,3.676238331907223,57.738095238095234,26896,82,411.0,24552.0,128142.0
"Crown, Patricia L.",Archaeology,book_heavy,452.0,325472.0,3.6750654411817534,0.0,1790,22,30.0,937.0,325020.0
"Yee, Ho Ung",Nuclear & Particle Physics,journal_heavy,453.0,192989.0,3.67035641110509,9.482758620689657,4366,36,99.0,4383.0,192536.0
"Roland, Erling",Education,mixed,454.0,273056.0,3.6699429264583987,3.0303030303030303,2028,19,,,272602.0
"Cohen, Peter A.",Education,mixed,455.0,290672.0,3.667973703589334,9.090909090909092,6595,43,22.0,1337.0,290217.0
"Shapiro, Pamela J.",Organic Chemistry,journal_heavy,456.0,230301.0,3.666133986731007,7.746478873239436,3085,29,48.0,2615.0,229845.0
"Ikot, Akpan Ndem",Nuclear & Particle Physics,journal_heavy,457.0,157894.0,3.6630311151983936,7.432432432432432,4138,34,,,157437.0
"Heller, Kevin Jon",Law,mixed,458.0,300832.0,3.6594544889196605,0.0,1449,17,26.0,757.0,300374.0
"Graesser, Michael L.",Nuclear & Particle Physics,journal_heavy,459.0,207337.0,3.6564501452660005,14.864864864864863,3941,30,56.0,3948.0,206878.0
"Friesen, Richard W.",Organic Chemistry,journal_heavy,460.0,194012.0,3.6554979170551793,36.89320388349515,3835,34,,,193552.0
"Klumpp, Douglas A.",Organic Chemistry,journal_heavy,461.0,185413.0,3.6544098178165645,17.08542713567839,3006,29,106.0,2798.0,184952.0
"Radford, Marie Louise",Information & Library Sciences,mixed,462.0,380073.0,3.645798981282207,8.60215053763441,1870,24,,,379611.0
"Althoff, Gerd",History,book_heavy,463.0,507906.0,3.6436702982249987,0.0,1238,19,38.0,442.0,507443.0
"Oz, Yaron",Nuclear & Particle Physics,journal_heavy,464.0,202617.0,3.6418971656094405,18.6046511627907,8940,31,164.0,8259.0,202153.0
"Platt, Verity J.","Art Practice, History & Theory",book_heavy,465.0,534107.0,3.6309879809283983,0.0,1327,17,29.0,398.0,533642.0
"Peel, Jacqueline",Law,mixed,466.0,283384.0,3.6281940158386816,0.7142857142857143,2500,18,62.0,1293.0,282918.0
"Pedram, Pouria",Nuclear & Particle Physics,journal_heavy,467.0,146459.0,3.626888883690488,21.666666666666668,1312,22,67.0,1652.0,145992.0
"Buckley, Hallie R.",Archaeology,book_heavy,468.0,267344.0,3.6257404934395923,15.979381443298967,4570,37,,,266876.0
"Clendinnen, Inga",History,book_heavy,469.0,523698.0,3.622176124019685,0.0,1416,16,,,523229.0
"Eidinow, Esther",Religions & Theology,book_heavy,470.0,543067.0,3.6192747531255067,1.851851851851852,1399,17,62.0,625.0,542597.0
"Horn, Eva",Literary Studies,book_heavy,471.0,801371.0,3.6165851880265727,2.409638554216868,2435,28,23.0,332.0,800900.0
"Dunsby, Peter K.S.",Nuclear & Particle Physics,journal_heavy,472.0,161575.0,3.61338860262575,2.515723270440252,4229,33,,,161103.0
"Gombrich, Ernst H.","Art Practice, History & Theory",book_heavy,473.0,1210493.0,3.605080670122044,0.0,1332,17,21.0,178.0,1210020.0
"Mason, Mark",Education,mixed,474.0,282195.0,3.5970804562010663,5.88235294117647,4081,8,,,281721.0
"Perlmann, Joel",Religions & Theology,book_heavy,475.0,590595.0,3.5958882818120284,0.0,1847,16,17.0,755.0,590120.0
"Possamai, Adam M.",Religions & Theology,book_heavy,476.0,488943.0,3.592919890857719,0.4219409282700421,1466,20,,,488467.0
"Redfern, R. C.",Archaeology,book_heavy,477.0,276402.0,3.587637135066193,15.0,1793,24,59.0,1361.0,275925.0
"Freeman, Jody",Law,mixed,478.0,293246.0,3.5772563523692833,0.0,1338,16,19.0,1400.0,292768.0
"Heerwegh, Dirk",Education,mixed,479.0,285722.0,3.569080919165707,11.25,3932,28,22.0,1137.0,285243.0
"van Dyke, Ruth M.",Archaeology,book_heavy,480.0,322187.0,3.5591817493421756,1.639344262295082,1091,17,,,321707.0
"Mioskowski, Charles",Organic Chemistry,journal_heavy,481.0,220196.0,3.5320064088246097,25.72298325722983,12893,54,392.0,13622.0,219715.0
"Dillon, Elizabeth Maddock",Literary Studies,book_heavy,482.0,804056.0,3.521494617946901,0.0,1115,14,25.0,318.0,803574.0
"Bingham, Adrian",History,book_heavy,483.0,300099.0,3.5039536767729507,0.0,1093,15,38.0,870.0,299616.0
"Oushakine, Serguei Alex",Literary Studies,book_heavy,484.0,217980.0,3.501131785545532,1.4084507042253522,916,15,,,217496.0
"Thompson, Marie",Literary Studies,book_heavy,485.0,798153.0,3.4994065087691975,55.072463768115945,23239,33,21.0,401.0,797668.0
"Brown, Lee B.","Art Practice, History & Theory",book_heavy,486.0,1156688.0,3.492901299926954,0.9803921568627452,1291,15,15.0,209.0,1156202.0
"Royle, Nicholas",Literary Studies,book_heavy,487.0,757445.0,3.4855296073597635,0.0,1323,18,75.0,410.0,756958.0
"Mirti, Piero",Archaeology,book_heavy,488.0,316972.0,3.482785554965898,25.0,1660,26,52.0,1408.0,316484.0
"Grusin, Richard",Literary Studies,book_heavy,489.0,334080.0,3.480607470366073,0.0,1215,14,,,333591.0
"Hollywood, Amy M.",Religions & Theology,book_heavy,490.0,567008.0,3.4763523928488826,0.0,1126,15,,,566518.0
"Rousseau, Gérard",Organic Chemistry,journal_heavy,491.0,223430.0,3.469043795218324,32.95454545454545,1604,25,,,222939.0
"Garrioch, David",History,book_heavy,492.0,516998.0,3.4608635721000844,0.0,902,15,31.0,588.0,516506.0
"Lopatovska, Irene V.",Information & Library Sciences,mixed,493.0,412913.0,3.4599283751453207,4.166666666666666,1427,17,,,412420.0
"Davin, Anna",History,book_heavy,494.0,545088.0,3.45264179861367,0.0,1272,10,,,544594.0
"Armstrong, Philip",Literary Studies,book_heavy,495.0,698233.0,3.4495322467956524,2.9629629629629632,4479,37,,,697738.0
"Flood, Finbarr Barry","Art Practice, History & Theory",book_heavy,496.0,521696.0,3.413887376590927,0.0,960,12,35.0,443.0,521200.0
"Althaus-Reid, Marcella María",Religions & Theology,book_heavy,497.0,578536.0,3.401893673093776,0.0,964,12,30.0,462.0,578039.0
"Althaus-Reid, Marcella María",Religions & Theology,book_heavy,497.0,578536.0,3.401893673093776,0.0,964,12,30.0,462.0,578039.0
"Kramnick, Jonathan Brody",Literary Studies,book_heavy,499.0,740151.0,3.3913452404610287,0.0,787,13,21.0,302.0,739652.0
"Klein, Cecelia F.","Art Practice, History & Theory",book_heavy,500.0,1092895.0,3.3745826816184277,2.0408163265306123,910,15,14.0,196.0,1092395.0
"Siegert, Bernhard",Literary Studies,book_heavy,501.0,718329.0,3.36435117653272,0.0,796,15,21.0,421.0,717828.0
"Bauer, Ralph",Literary Studies,book_heavy,502.0,795283.0,3.3556300660513894,0.0,763,13,,,794781.0
"Ebrahimi, Bashir Mahdi",Electrical & Electronic Engineering,journal_heavy,503.0,514525.0,3.3457809194929737,5.970149253731343,2931,27,,,514022.0
"Schwarz, Leonard D.",History,book_heavy,504.0,,3.285794242230238,0.0,1109,13,,,
"Edele, Mark",History,book_heavy,505.0,514943.0,3.272562893993302,0.0,673,13,,,514438.0
"Jantzen, Grace M.",Religions & Theology,book_heavy,506.0,586262.0,3.27252869829095,0.0,750,10,42.0,362.0,585756.0
"Kirby, Gordon W.",Organic Chemistry,journal_heavy,507.0,228610.0,3.260616624592594,10.344827586206897,1527,22,171.0,2053.0,228103.0
"Pivovarov, Alexei A.",Nuclear & Particle Physics,journal_heavy,508.0,170201.0,3.2568356537035816,18.367346938775512,1570,20,,,169693.0
"Scholz, Trebor","Art Practice, History & Theory",book_heavy,509.0,1134242.0,3.2555077701466715,0.0,1280,7,,,1133733.0
"Bryan-Wilson, Julia","Art Practice, History & Theory",book_heavy,510.0,1196368.0,3.248200029957074,0.0,672,12,42.0,174.0,1195858.0
"Ross, Karen",Communication & Media Studies,mixed,511.0,171885.0,3.2470134916589832,2.564102564102564,3149,26,65.0,1531.0,171374.0
"Kang, Jerry",Law,mixed,512.0,281043.0,3.240081310292244,0.0,1111,16,,,280531.0
"Jenkins, Richard",Sociology,mixed,513.0,114355.0,3.202667254293543,4.301075268817205,5630,27,56.0,2188.0,113842.0
"Rubenstein, Jeffrey L.",Religions & Theology,book_heavy,514.0,578712.0,3.185229705944501,0.0,749,13,19.0,452.0,578198.0
"Wadiwel, Dinesh Joseph",Literary Studies,book_heavy,515.0,703169.0,3.184990007423453,1.36986301369863,619,13,,,702654.0
"Shagan, Ethan Howard",History,book_heavy,516.0,538649.0,3.164439138456259,0.0,546,10,,,538133.0
"Stockwell, A. J.",History,book_heavy,517.0,544287.0,3.0998766589091082,11.594202898550725,3498,22,40.0,364.0,543770.0
"Dotsenko, Vladimir S.",Nuclear & Particle Physics,journal_heavy,518.0,190029.0,2.905466664994056,55.55555555555556,611,9,,,189511.0
"Roxburgh, David J.","Art Practice, History & Theory",book_heavy,519.0,1112087.0,2.7858524029433114,0.0,347,7,,,1111568.0
"Baldwin, Peter C.",History,book_heavy,520.0,556278.0,2.5818368605482203,0.0,186,7,23.0,430.0,555758.0
"Turner, Claire Louise Susan",Genetics & Heredity,journal_heavy,521.0,133132.0,2.5689610078235825,24.390243902439025,1841,21,93.0,6225.0,132611.0
"Rodríguez, Luís Felipe",Astronomy & Astrophysics,journal_heavy,522.0,85067.0,2.561354386812582,23.07692307692308,812,16,,,84545.0
"Hoppe, Walther",Organic Chemistry,journal_heavy,523.0,239532.0,2.549273847714354,4.0,559,8,,,239009.0
"Phillips, Anne L.",Political Science & Public Administration,mixed,524.0,130558.0,2.281213012631327,0.0,319,1,40.0,1884.0,130034.0
"Frend, William H.C.",History,book_heavy,525.0,556063.0,2.086348609997383,0.0,111,2,46.0,379.0,555538.0
"Frend, William H.C.",History,book_heavy,525.0,556063.0,2.086348609997383,0.0,111,2,46.0,379.0,555538.0
"Herring, Scott",Literary Studies,book_heavy,527.0,791365.0,2.061982956219325,14.285714285714285,639,9,,,790838.0
"Owen, Andrew",Microbiology,journal_heavy,528.0,172387.0,1.9852031865732331,1.5151515151515151,186,8,317.0,8877.0,171859.0
"Erlich, Henry A.",Immunology,journal_heavy,529.0,10416.0,1.9427051890037945,50.0,1086,8,467.0,51721.0,9887.0
"HájícĚk, Peter",Nuclear & Particle Physics,journal_heavy,530.0,197391.0,1.8616817657528628,0.0,73,3,90.0,1185.0,196861.0
"Stone, Michael Edward",Religions & Theology,book_heavy,531.0,498268.0,1.5250612419901068,6.25,75,2,79.0,499.0,497737.0
"van Manen, Max J.",Education,mixed,532.0,60826.0,1.4265388328028152,0.0,26,1,,,60294.0
"Mathur, Saloni","Art Practice, History & Theory",book_heavy,533.0,1102535.0,1.373691626990217,20.0,126,4,,,1102002.0
"Graburn, Nelson H.H.",Anthropology,book_heavy,534.0,142954.0,1.1462211114098486,100.0,11,1,,,142420.0
"Bousser, Marchie Germaine",Neurology & Neurosurgery,journal_heavy,535.0,4828.0,1.0148318112321746,0.0,76,1,615.0,60411.0,4293.0
"Roe, Nicholas Hugh",Literary Studies,book_heavy,536.0,769117.0,0.7664590957697718,0.0,3,1,32.0,442.0,768581.0
"Kipnis, Andrew Byron",Anthropology,book_heavy,537.0,155005.0,0.5568305302719199,0.0,4,1,51.0,1632.0,154468.0
"Bannon, Michael John",Neurology & Neurosurgery,journal_heavy,538.0,126854.0,0.526855940826178,0.0,1,1,116.0,4627.0,126316.0
"Goodman, Ryan E.",Law,mixed,539.0,304703.0,0.2524584834340795,0.0,3,1,30.0,1195.0,304164.0
"Chang, Chaio Chen",Information & Library Sciences,mixed,540.0,456934.0,0.0,0.0,0,0,,,456394.0
"Millar, Fergus G.B.",Classics,book_heavy,540.0,93493.0,0.0,0.0,0,0,53.0,1869.0,92953.0
